name,par,status,n_toas,t2_prefit_us,jug_prefit_us,prefit_ratio,t2_postfit_us,jug_postfit_us,postfit_ratio,param_diffs,t2_prefit_time_s,jug_prefit_time_s,t2_postfit_time_s,jug_postfit_time_s
J0030+0451,J0030+0451.par,OK,1308,2.8113,2.8115,1.0001,2.6459,2.645,0.9997,,1.1,1.2,1.1,0.4
J0125-2327,J0125-2327.par,OK,4429,0.5344,0.5356,1.0022,0.5331,0.5353,1.0041,,1.2,1.0,1.2,1.1
J0348+0432,J0348+0432.par,OK,743,7.334,7.2596,0.9899,7.3124,7.256,0.9923,,2.2,0.3,2.2,0.3
J0437-4715,J0437-4715.par,OK,14783,0.417,0.4098,0.9827,0.4029,0.3954,0.9814,,1.8,2.4,2.0,2.4
J0613-0200,J0613-0200.par,OK,6133,1.869,1.8612,0.9958,1.8686,1.8582,0.9944,,1.3,1.3,1.5,1.4
J0614-3329,J0614-3329.par,OK,1301,1.6948,1.6979,1.0018,1.6576,1.6604,1.0017,,1.0,0.5,1.1,0.5
J0711-6830,J0711-6830.par,OK,6836,1.4162,1.4207,1.0032,1.3837,1.3792,0.9967,,1.4,1.5,1.4,1.3
J0900-3144,J0900-3144.par,OK,3451,3.5111,3.51,0.9997,3.4635,3.4627,0.9998,,1.1,1.0,1.2,0.9
J1017-7156,J1017-7156.par,OK,7272,1.4203,1.419,0.9991,1.3184,1.3178,0.9995,,1.4,1.5,1.5,1.5
J1022+1001,J1022+1001.par,OK,6385,1.5586,1.5578,0.9995,1.4324,1.4327,1.0002,,1.3,1.4,1.5,1.3
J1024-0719,J1024-0719.par,OK,2438,1.7063,1.7061,0.9999,1.6659,1.6665,1.0004,,1.1,0.7,1.2,0.7
J1045-4509,J1045-4509.par,OK,5316,11.3543,11.3526,0.9999,11.225,11.2254,1.0,,1.3,1.1,1.3,1.4
J1125-6014,J1125-6014.par,OK,4357,1.8551,1.851,0.9978,1.7727,1.7542,0.9896,,1.2,1.0,1.3,1.1
J1446-4701,J1446-4701.par,OK,1170,1.4114,1.4183,1.0049,1.4022,1.4024,1.0001,,1.1,0.5,1.1,0.8
J1545-4550,J1545-4550.par,OK,4144,0.9449,0.9537,1.0093,0.9429,0.9464,1.0037,,1.2,1.0,1.2,1.1
J1600-3053,J1600-3053.par,OK,6182,1.5819,1.5866,1.003,1.569,1.5718,1.0018,,1.3,1.4,1.5,1.4
J1603-7202,J1603-7202.par,OK,6460,2.1576,2.1697,1.0056,2.1368,2.1364,0.9998,,1.3,1.3,1.4,1.7
J1643-1224,J1643-1224.par,OK,5205,3.205,3.1997,0.9983,3.1751,3.1727,0.9992,,1.3,1.1,1.3,1.2
J1705-1903,J1705-1903.par,OK,1545,2.4362,2.4357,0.9998,2.4232,2.3943,0.9881,,1.0,1.4,1.1,0.9
J1713+0747,J1713+0747.par,OK,8693,0.23,0.2222,0.9661,0.2071,0.2091,1.0097,,1.4,1.6,1.7,2.1
J1730-2304,J1730-2304.par,OK,4034,1.7722,1.7705,0.999,1.6955,1.6959,1.0002,,1.2,1.0,1.2,0.9
J1741+1351,J1741+1351.par,OK,367,0.7952,0.7936,0.998,0.7892,0.7886,0.9992,,1.0,0.4,1.0,0.4
J1744-1134,J1744-1134.par,OK,6424,0.8187,0.8091,0.9883,0.7659,0.7657,0.9997,,1.3,1.6,1.4,1.3
J1824-2452A,J1824-2452A.par,OK,1408,13.5114,13.5115,1.0,13.5071,13.5072,1.0,,1.1,0.6,1.1,0.5
J1832-0836,J1832-0836.par,OK,722,1.384,1.3811,0.9979,1.3757,1.3758,1.0001,,1.0,0.5,1.0,0.4
J1857+0943,J1857+0943.par,OK,3001,1.7628,1.7631,1.0002,1.7589,1.7594,1.0003,,1.1,1.1,1.2,1.0
J1902-5105,J1902-5105.par,OK,1102,1.6974,1.696,0.9992,1.6507,1.6501,0.9996,,1.1,0.5,1.0,0.6
J1909-3744,J1909-3744.par,OK,11470,0.3788,0.3706,0.9784,0.356,0.3372,0.9472,,1.6,2.0,1.8,2.6
J1933-6211,J1933-6211.par,OK,1365,1.5969,1.5963,0.9996,1.5962,1.5958,0.9997,,1.1,0.6,1.1,0.7
J1939+2134,J1939+2134.par,OK,3003,3.068,3.0594,0.9972,3.0014,3.0015,1.0,,1.1,0.8,1.3,0.8
J1944+0907,J1944+0907.par,OK,337,5.0765,5.0757,0.9998,5.0761,5.075,0.9998,,1.0,0.4,1.0,0.3
J2051-0827,J2051-0827.par,OK,1472,3.0734,3.0715,0.9994,3.0784,2.9544,0.9597,,1.1,1.1,1.0,0.8
J2124-3358,J2124-3358.par,OK,4170,3.0999,3.1036,1.0012,3.0799,3.0798,1.0,,1.2,1.0,1.3,1.0
J2129-5721,J2129-5721.par,OK,3699,1.5259,1.5836,1.0378,1.5006,1.5005,0.9999,,1.2,1.0,1.2,1.1
J2145-0750,J2145-0750.par,OK,5946,1.3896,1.4434,1.0387,1.2222,1.2228,1.0005,,1.3,1.6,1.4,1.5
J2150-0326,J2150-0326.par,OK,204,1.9924,1.9888,0.9982,1.9637,1.9617,0.999,,1.0,0.6,1.0,0.5
J2241-5236,J2241-5236.par,OK,7833,0.2981,0.2976,0.9983,0.289,0.2871,0.9934,,1.4,2.1,1.5,1.8
